Dates,Sales
06/21/2023,3748.25
06/22/2023,3109
06/23/2023,3826
06/24/2023,5953
06/25/2023,5520
06/26/2023,2696
06/27/2023,2995.75
06/28/2023,3067.25
06/29/2023,3217.75
06/30/2023,3575.25
07/01/2023,6034.75
07/02/2023,6209.5
07/03/2023,4888.75
07/04/2023,8028.5
07/05/2023,2899.75
07/06/2023,2550.75
07/07/2023,4026.75
07/08/2023,6914.25
07/09/2023,5812.25
07/10/2023,3035.25
07/11/2023,3167.5
07/12/2023,3778.75
07/13/2023,3149.5
07/14/2023,4509.25
07/15/2023,4924
07/16/2023,6075.5
07/17/2023,3638.5
07/18/2023,3689.5
07/19/2023,4236
07/20/2023,2833
07/21/2023,3700.25
07/22/2023,6448.25
07/23/2023,5371
07/24/2023,3551
07/25/2023,3468.25
07/26/2023,4051.25
07/27/2023,3274.25
07/28/2023,4858.75
07/29/2023,6456
07/30/2023,6532
07/31/2023,3189.25
08/01/2023,3913.25
08/02/2023,3977
08/03/2023,3492.75
08/04/2023,5369.25
08/05/2023,3874.5
08/06/2023,5919
08/07/2023,3989.5
08/08/2023,4447
08/09/2023,3084.5
08/10/2023,2533.75
08/11/2023,4469.25
08/12/2023,6899
08/13/2023,6030.5
08/14/2023,3120
08/15/2023,4516.75
08/16/2023,3731
08/17/2023,2376.75
08/18/2023,4813.25
08/19/2023,5171
08/20/2023,470.25
08/21/2023,2375.5
08/22/2023,3336.25
08/23/2023,3059.75
08/24/2023,2298.25
08/25/2023,3454.25
08/26/2023,5572.25
08/27/2023,5939.75
08/28/2023,4124.5
08/29/2023,3211.25
08/30/2023,3172.5
08/31/2023,2801
09/01/2023,3563.75
09/02/2023,3791
09/03/2023,7367.25
09/04/2023,9520.5
09/05/2023,1888.75
09/06/2023,2175.5
09/07/2023,1687.75
09/08/2023,2643.5
09/09/2023,5420.75
09/10/2023,4758
09/11/2023,1586
09/12/2023,2048
09/13/2023,1960.5
09/14/2023,1494.5
09/15/2023,2299.5
09/16/2023,3162
09/17/2023,3662
09/18/2023,1464.5
09/19/2023,1906.5
09/20/2023,1756
09/21/2023,1563.75
09/22/2023,2135
09/23/2023,4630
09/24/2023,4780.75
09/25/2023,2600
09/26/2023,1983.75
09/27/2023,1928
09/28/2023,1546
09/29/2023,1934.25
09/30/2023,2601
10/01/2023,2277.5
10/02/2023,1397.5
10/03/2023,2277.25
10/04/2023,1889
10/05/2023,1538
10/06/2023,2603.5
10/07/2023,5640.5
10/08/2023,4232
10/09/2023,2149.75
10/10/2023,2065.75
10/11/2023,1939.25
10/12/2023,2588.5
10/13/2023,2652
